"","X","Unnamed..0","total_loop_times","fc_loop_times","cross_size","minimum_duration","memory_duration","delay_duration","choice_duration","list_index","monkey","target_pic","target_pic_position","pic_bottom","pic_left","pic_right","pic_chosen","pic_chosen_position","choice_rt","response","reward_ornot","jitter_iti","Cumulative_Correct_Rate","trial_index"
"1",0,0,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","left",0.314185400027782,0,0,1.65163122298855,0,1
"2",1,1,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","bottom",0.410139900166541,1,1,1.67052947030505,0.5,2
"3",2,2,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","bottom",0.566356300143525,0,0,1.93323523168897,0.333333333333333,3
"4",3,3,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","right",6.13416579994373,1,1,0.709600071817542,0.5,4
"5",4,4,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","bottom","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","left",0.224712800001725,0,0,1.22869352916325,0.4,5
"6",5,5,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","bottom",3.31306670000777,0,0,1.62786440785345,0.333333333333333,6
"7",6,6,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png","left",1.96008639992215,0,0,1.42663480617729,0.285714285714286,7
"8",7,7,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","right","F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png","right",2.18336890009232,1,1,2.45981649892564,0.375,8
"9",8,8,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png","right",1.3732720001135,0,0,0.968578671263631,0.333333333333333,9
"10",9,9,5,1,75,1,5,1,60,228,"J","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","left","F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png","right",2.44473900017329,0,0,2.51492915736442,0.3,10
