CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_INTEREST_AREAS	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_FIX_COUNT	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_INTEREST_AREA_PIXEL_AREA	CURRENT_FIX_INTEREST_AREA_RUN_ID	CURRENT_FIX_INTEREST_AREA_X_OFFSET	CURRENT_FIX_INTEREST_AREA_Y_OFFSET	CURRENT_FIX_LABEL	CURRENT_FIX_MSG_COUNT	CURRENT_FIX_MSG_LIST_TEXT	CURRENT_FIX_MSG_LIST_TIME	CURRENT_FIX_MSG_TEXT_1	CURRENT_FIX_MSG_TIME_1	CURRENT_FIX_NEAREST_INTEREST_AREA	CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE	CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL	CURRENT_FIX_PUPIL	CURRENT_FIX_REFIX_INTEREST_AREA	CURRENT_FIX_REFIX_PREV_INTEREST_AREA	CURRENT_FIX_RUN_DWELL_TIME	CURRENT_FIX_RUN_INDEX	CURRENT_FIX_RUN_SIZE	CURRENT_FIX_START	CURRENT_FIX_X	CURRENT_FIX_X_RESOLUTION	CURRENT_FIX_Y	CURRENT_FIX_Y_RESOLUTION	DATA_FILE	EYE_USED	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	TRIAL_FIXATION_TOTAL	TRIAL_INDEX	TRIAL_LABEL	TRIAL_START_TIME	CURRENT_FIX_START_OTHER	CURRENT_FIX_END_OTHER	CURRENT_FIX_INDEX	CURRENT_FIX_INPUT_EVENTS	CURRENT_FIX_INTEREST_AREA_DATA	CURRENT_FIX_INTEREST_AREA_INDEX	CURRENT_FIX_INTEREST_AREA_GROUP	CURRENT_FIX_ADJUSTED	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_IS_RT_END	CURRENT_FIX_TRIAL_SPAN	CURRENT_FIX_X_OTHER	CURRENT_FIX_Y_OTHER
149	30830	[ ]	.	.	.	.	.	.	.	.	Fixation: 30681 ms	1	[forcedchoice_start_0]	[30681]	forcedchoice_start_0	30681	2	17.03	left_roi	4980.00	.	.	.	.	.	30681	177.20	45.55	717.70	40.25	J030701.EDF	RIGHT	true	333635552	1	3AFC_0	true	333634238	3	1	Trial: 1	333603557	.	.	1	[]	.	.	.	false	NONE	false	SPAN_NONE	.	.
80	30965	[ 2]	80	1	2	left_roi	184320.00	1	-54.90	43.20	Fixation: 30885 ms	0	[]	[]	.	.	2	1.81	left_roi	4629.00	0	0	80	1	1	30885	585.10	39.40	295.20	38.05	J030701.EDF	RIGHT	true	333635552	1	3AFC_0	true	333634238	3	1	Trial: 1	333603557	.	.	2	[]	[DYNAMIC, RECTANGLE, 352.0, 92.0, 928.0, 412.0]	2	.	false	NONE	false	SPAN_NONE	.	.
987	31995	[ ]	.	.	.	.	.	.	.	.	Fixation: 31008 ms	2	[forcedchoice_end_0, punishment_start_0]	[31995, 31995]	forcedchoice_end_0	31995	2	9.67	left_roi	4317.00	.	.	.	.	.	31008	588.90	38.75	619.50	37.05	J030701.EDF	RIGHT	true	333635552	1	3AFC_0	true	333634238	3	1	Trial: 1	333603557	.	.	3	[]	.	.	.	false	NONE	false	SPAN_NONE	.	.
197	41920	[ 9]	197	1	9	memory_roi	184320.00	1	0.80	-8.70	Fixation: 41723 ms	1	[forcedchoice_start_1]	[41723]	forcedchoice_start_1	41723	9	0.23	memory_roi	5195.00	0	0	197	1	1	41723	1280.80	34.80	711.30	35.20	J030701.EDF	RIGHT	true	333646690	2	3AFC_1	true	333645280	5	1	Trial: 1	333603557	.	.	1	[]	[DYNAMIC, RECTANGLE, 992.0, 560.0, 1568.0, 880.0]	4	.	false	NONE	false	SPAN_NONE	.	.
147	42098	[ 1]	147	1	1	bottom_roi	184320.00	1	88.40	-23.50	Fixation: 41951 ms	0	[]	[]	.	.	1	2.36	bottom_roi	4134.00	0	1	147	1	1	41951	1368.40	35.30	948.50	36.10	J030701.EDF	RIGHT	true	333646690	2	3AFC_1	true	333645280	5	1	Trial: 1	333603557	.	.	2	[]	[DYNAMIC, RECTANGLE, 992.0, 812.0, 1568.0, 1132.0]	1	.	false	NONE	false	SPAN_NONE	.	.
268	42404	[ ]	.	.	.	.	.	.	.	.	Fixation: 42136 ms	0	[]	[]	.	.	1	10.37	bottom_roi	3514.00	.	.	.	.	.	42136	1270.70	37.10	1369.60	40.10	J030701.EDF	RIGHT	true	333646690	2	3AFC_1	true	333645280	5	1	Trial: 1	333603557	.	.	3	[]	.	.	.	false	NONE	false	SPAN_NONE	.	.
265	42680	[ ]	.	.	.	.	.	.	.	.	Fixation: 42415 ms	0	[]	[]	.	.	1	10.68	bottom_roi	4005.00	.	.	.	.	.	42415	1268.60	37.20	1381.60	40.25	J030701.EDF	RIGHT	true	333646690	2	3AFC_1	true	333645280	5	1	Trial: 1	333603557	.	.	4	[]	.	.	.	false	NONE	false	SPAN_NONE	.	.
443	43133	[ ]	.	.	.	.	.	.	.	.	Fixation: 42690 ms	1	[forcedchoice_end_1]	[43133]	forcedchoice_end_1	43133	1	9.44	bottom_roi	4729.00	.	.	.	.	.	42690	1283.20	36.95	1334.20	39.70	J030701.EDF	RIGHT	true	333646690	2	3AFC_1	true	333645280	5	1	Trial: 1	333603557	.	.	5	[]	.	.	.	false	NONE	false	SPAN_NONE	.	.
193	49088	[ 9]	193	1	9	memory_roi	184320.00	1	26.80	-38.20	Fixation: 48895 ms	1	[forcedchoice_start_2]	[48895]	forcedchoice_start_2	48895	9	1.21	memory_roi	5432.00	0	0	193	1	1	48895	1306.80	34.80	681.80	35.10	J030701.EDF	RIGHT	true	333654019	3	3AFC_2	true	333652452	5	1	Trial: 1	333603557	.	.	1	[]	[DYNAMIC, RECTANGLE, 992.0, 560.0, 1568.0, 880.0]	4	.	false	BEFORE	false	SPAN_NONE	.	.
138	49273	[ 2]	138	1	2	left_roi	184320.00	1	113.80	-7.90	Fixation: 49135 ms	0	[]	[]	.	.	2	2.94	left_roi	4031.00	0	1	138	1	1	49135	753.80	37.70	244.10	37.40	J030701.EDF	RIGHT	true	333654019	3	3AFC_2	true	333652452	5	1	Trial: 1	333603557	.	.	2	[]	[DYNAMIC, RECTANGLE, 352.0, 92.0, 928.0, 412.0]	2	.	false	NONE	false	SPAN_NONE	.	.
