,Unnamed: 0,total_loop_times,fc_loop_times,cross_size,minimum_duration,memory_duration,delay_duration,choice_duration,list_index,monkey,target_pic,target_pic_position,pic_bottom,pic_left,pic_right,pic_chosen,pic_chosen_position,choice_rt,response,reward_ornot,jitter_iti,Cumulative_Correct_Rate,trial_index
0,0,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,bottom,0.9618847998790444,1,1,1.6249556059560897,1.0,1
1,1,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,bottom,0.6064561000093818,1,1,1.9650039027186488,1.0,2
2,2,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,bottom,0.5990197001956403,0,0,0.84422198479595,0.6666666666666666,3
3,3,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,0.8734271000139415,1,1,1.8815021892471395,0.75,4
4,4,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,left,0.2216359002050012,1,1,1.455233698735544,0.8,5
5,5,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,left,0.8054236001335084,1,1,1.996641467057026,0.8333333333333334,6
6,6,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,left,0.1866911998949945,1,1,0.8203526168549593,0.8571428571428571,7
7,7,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,0.846420899964869,1,1,1.2058371586073346,0.875,8
8,8,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png,bottom,0.6651768998708576,1,1,1.6163919950846737,0.8888888888888888,9
9,9,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,bottom,0.5956759999971837,1,1,1.6395792368645703,0.9,10
10,10,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,left,F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png,left,0.938988400157541,1,1,1.656932094803436,0.9090909090909091,11
11,11,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\1065_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\1065_1.png,right,0.9078738000243902,1,1,1.5482970593269307,0.9166666666666666,12
12,12,5,1,75,1.0,5,1,60,228,J,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,right,F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png,F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png,left,0.2530004000291228,0,0,0.8851753780985764,0.8461538461538461,13
