Index,Type,Time,Desceiption
0,MSG,333976184,jitter_iti_end_3
1,MSG,333974623,jitter_iti_start_3
2,MSG,333972630,reward_end_3
3,MSG,333972630,!V CLEAR 0 0 0
4,MSG,333970633,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1280 972 576 320
5,MSG,333970633,reward_start_3
6,MSG,333970614,forcedchoice_end_3
7,MSG,333970614,!V CLEAR 0 0 0
8,MSG,333968914,!V DRAWBOX 0 255 0 1845 537 1995 687
9,MSG,333968914,!V DRAWBOX 0 255 0 565 537 715 687
10,MSG,333968914,!V DRAWBOX 0 255 0 1205 1257 1355 1407
11,MSG,333968914,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
12,MSG,333968914,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
13,MSG,333968914,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
14,MSG,333968914,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_1.png 1920 251 576 320
15,MSG,333968914,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_2.png 640 251 576 320
16,MSG,333968913,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\682_3.png 1280 972 576 320
17,MSG,333968913,forcedchoice_start_3
18,MSG,333968871,target_position : bottom
19,MSG,333968868,jitter_iti_end_2
20,MSG,333967043,jitter_iti_start_2
21,MSG,333965050,reward_end_2
22,MSG,333965050,!V CLEAR 0 0 0
23,MSG,333963053,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 1280 972 576 320
24,MSG,333963053,reward_start_2
25,MSG,333963035,forcedchoice_end_2
26,MSG,333963035,!V CLEAR 0 0 0
27,MSG,333960593,!V DRAWBOX 0 255 0 1845 537 1995 687
28,MSG,333960593,!V DRAWBOX 0 255 0 565 537 715 687
29,MSG,333960593,!V DRAWBOX 0 255 0 1205 1257 1355 1407
30,MSG,333960593,!V IAREA RECTANGLE 3 1632 92 2208 412 right_roi
31,MSG,333960593,!V IAREA RECTANGLE 2 352 92 928 412 left_roi
32,MSG,333960593,!V IAREA RECTANGLE 1 992 812 1568 1132 bottom_roi
33,MSG,333960593,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_1.png 1920 251 576 320
34,MSG,333960593,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_3.png 640 251 576 320
35,MSG,333960593,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\782_2.png 1280 972 576 320
36,MSG,333960593,forcedchoice_start_2
37,MSG,333960550,target_position : bottom
38,MSG,333960548,jitter_iti_end_1
39,MSG,333958643,jitter_iti_start_1
40,MSG,333956649,reward_end_1
41,MSG,333956649,!V CLEAR 0 0 0
42,MSG,333954652,!V IMGLOAD CENTER F:\Pic_TOJ\pic_pool_step_3_formal\770_3.png 1920 251 576 320
43,MSG,333954652,reward_start_1
44,MSG,333954635,forcedchoice_end_1
45,MSG,333954635,!V CLEAR 0 0 0
